,Año,Trimestre,Provincia,Mbps_(Media_De_Bajada),Fecha
291,2021,1,Chaco,33.63,2021-01-01
292,2021,1,Chubut,7.53,2021-01-01
293,2021,1,Córdoba,36.17,2021-01-01
294,2021,1,Corrientes,25.99,2021-01-01
295,2021,1,Entre Ríos,23.87,2021-01-01
296,2021,1,Formosa,20.98,2021-01-01
297,2021,1,Jujuy,26.78,2021-01-01
298,2021,1,La Pampa,10.73,2021-01-01
299,2021,1,La Rioja,12.7,2021-01-01
300,2021,1,Mendoza,12.6,2021-01-01
301,2021,1,Misiones,25.08,2021-01-01
302,2021,1,Neuquén,34.24,2021-01-01
303,2021,1,Río Negro,21.92,2021-01-01
304,2021,1,Salta,27.32,2021-01-01
305,2021,1,San Juan,6.91,2021-01-01
306,2021,1,San Luis,21.59,2021-01-01
307,2021,1,Santa Cruz,7.5,2021-01-01
308,2021,1,Santa Fe,28.13,2021-01-01
309,2021,1,Santiago Del Estero,11.58,2021-01-01
310,2021,1,Tierra Del Fuego,8.73,2021-01-01
311,2021,1,Tucumán,37.98,2021-01-01
312,2020,4,Buenos Aires,50.01,2020-10-01
313,2020,4,Capital Federal,67.33,2020-10-01
314,2020,4,Catamarca,37.65,2020-10-01
315,2020,4,Chaco,32.45,2020-10-01
316,2020,4,Chubut,7.38,2020-10-01
317,2020,4,Córdoba,35.12,2020-10-01
318,2020,4,Corrientes,25.45,2020-10-01
319,2020,4,Entre Ríos,24.05,2020-10-01
320,2020,4,Formosa,19.7,2020-10-01
321,2020,4,Jujuy,25.21,2020-10-01
322,2020,4,La Pampa,9.88,2020-10-01
323,2020,4,La Rioja,12.53,2020-10-01
324,2020,4,Mendoza,11.09,2020-10-01
325,2020,4,Misiones,24.96,2020-10-01
326,2020,4,Neuquén,33.91,2020-10-01
327,2020,4,Río Negro,21.64,2020-10-01
328,2020,4,Salta,25.32,2020-10-01
329,2020,4,San Juan,6.41,2020-10-01
330,2020,4,San Luis,21.25,2020-10-01
331,2020,4,Santa Cruz,7.49,2020-10-01
332,2020,4,Santa Fe,27.29,2020-10-01
333,2020,4,Santiago Del Estero,11.28,2020-10-01
334,2020,4,Tierra Del Fuego,8.49,2020-10-01
335,2020,4,Tucumán,36.44,2020-10-01
336,2020,3,Buenos Aires,48.38,2020-07-01
337,2020,3,Capital Federal,63.81,2020-07-01
338,2020,3,Catamarca,36.54,2020-07-01
339,2020,3,Chaco,30.8,2020-07-01
340,2020,3,Chubut,7.4,2020-07-01
