,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hab,Fecha
456,2019.0,2.0,Buenos Aires,22.22,2019-04-01
458,2019.0,2.0,Catamarca,8.17,2019-04-01
459,2019.0,2.0,Chaco,9.13,2019-04-01
460,2019.0,2.0,Chubut,14.4,2019-04-01
461,2019.0,2.0,Córdoba,20.84,2019-04-01
462,2019.0,2.0,Corrientes,10.05,2019-04-01
463,2019.0,2.0,Entre Ríos,17.19,2019-04-01
464,2019.0,2.0,Formosa,7.74,2019-04-01
465,2019.0,2.0,Jujuy,11.38,2019-04-01
466,2019.0,2.0,La Pampa,25.4,2019-04-01
467,2019.0,2.0,La Rioja,12.97,2019-04-01
468,2019.0,2.0,Mendoza,11.37,2019-04-01
469,2019.0,2.0,Misiones,10.66,2019-04-01
470,2019.0,2.0,Neuquén,18.78,2019-04-01
471,2019.0,2.0,Río Negro,18.79,2019-04-01
472,2019.0,2.0,Salta,10.15,2019-04-01
473,2019.0,2.0,San Juan,9.07,2019-04-01
474,2019.0,2.0,San Luis,23.41,2019-04-01
475,2019.0,2.0,Santa Cruz,8.58,2019-04-01
476,2019.0,2.0,Santa Fe,21.2,2019-04-01
477,2019.0,2.0,Santiago Del Estero,13.1,2019-04-01
478,2019.0,2.0,Tierra Del Fuego,28.11,2019-04-01
479,2019.0,2.0,Tucumán,9.94,2019-04-01
480,2019.0,1.0,Buenos Aires,21.64,2019-01-01
482,2019.0,1.0,Catamarca,8.19,2019-01-01
483,2019.0,1.0,Chaco,8.72,2019-01-01
484,2019.0,1.0,Chubut,13.18,2019-01-01
485,2019.0,1.0,Córdoba,20.06,2019-01-01
486,2019.0,1.0,Corrientes,9.25,2019-01-01
487,2019.0,1.0,Entre Ríos,16.98,2019-01-01
488,2019.0,1.0,Formosa,7.55,2019-01-01
489,2019.0,1.0,Jujuy,11.87,2019-01-01
490,2019.0,1.0,La Pampa,25.16,2019-01-01
491,2019.0,1.0,La Rioja,13.36,2019-01-01
492,2019.0,1.0,Mendoza,10.51,2019-01-01
493,2019.0,1.0,Misiones,9.88,2019-01-01
494,2019.0,1.0,Neuquén,17.53,2019-01-01
495,2019.0,1.0,Río Negro,16.48,2019-01-01
496,2019.0,1.0,Salta,9.71,2019-01-01
497,2019.0,1.0,San Juan,8.11,2019-01-01
498,2019.0,1.0,San Luis,19.27,2019-01-01
499,2019.0,1.0,Santa Cruz,7.04,2019-01-01
500,2019.0,1.0,Santa Fe,21.06,2019-01-01
501,2019.0,1.0,Santiago Del Estero,9.31,2019-01-01
502,2019.0,1.0,Tierra Del Fuego,27.68,2019-01-01
503,2019.0,1.0,Tucumán,10.31,2019-01-01
504,2018.0,4.0,Buenos Aires,21.06,2018-10-01
506,2018.0,4.0,Catamarca,8.2,2018-10-01
507,2018.0,4.0,Chaco,8.71,2018-10-01
508,2018.0,4.0,Chubut,13.06,2018-10-01
509,2018.0,4.0,Córdoba,19.93,2018-10-01
